time,	T,	w,	th
1.814,	0,	66.6656,	87.6676
1.815,	0,	66.6656,	87.7343
1.816,	-3.8147,	66.6733,	87.801
1.817,	3.8147,	66.6656,	87.8676
1.818,	0,	66.6656,	87.9343
1.819,	0,	66.6656,	88.001
1.82,	-3.8147,	66.6733,	88.0676
1.821,	3.8147,	66.6656,	88.1343
1.822,	0,	66.6656,	88.201
1.823,	-3.8147,	66.6733,	88.2676
1.824,	3.8147,	66.6656,	88.3343
1.825,	0,	66.6656,	88.401
1.826,	0,	66.6656,	88.4676
1.827,	-3.8147,	66.6733,	88.5343
1.828,	3.8147,	66.6656,	88.601
1.829,	0,	66.6656,	88.6676
1.83,	-3.8147,	66.6733,	88.7343
1.831,	3.8147,	66.6656,	88.801
1.832,	0,	66.6656,	88.8676
1.833,	0,	66.6656,	88.9343
1.834,	-3.8147,	66.6733,	89.001
1.835,	3.8147,	66.6656,	89.0676
1.836,	0,	66.6656,	89.1343
1.837,	-3.8147,	66.6733,	89.201
1.838,	3.8147,	66.6656,	89.2677
1.839,	0,	66.6656,	89.3343
1.84,	0,	66.6656,	89.401
1.841,	-3.8147,	66.6733,	89.4677
1.842,	3.8147,	66.6656,	89.5343
1.843,	0,	66.6656,	89.601
1.844,	-3.8147,	66.6733,	89.6677
1.845,	3.8147,	66.6656,	89.7343
1.846,	0,	66.6656,	89.801
1.847,	0,	66.6656,	89.8677
1.848,	-3.8147,	66.6733,	89.9343
1.849,	3.8147,	66.6656,	90.001
1.85,	0,	66.6656,	90.0677
1.851,	-3.8147,	66.6733,	90.1343
1.852,	3.8147,	66.6656,	90.201
1.853,	0,	66.6656,	90.2677
1.854,	0,	66.6656,	90.3343
1.855,	-3.8147,	66.6733,	90.401
1.856,	3.8147,	66.6656,	90.4677
1.857,	0,	66.6656,	90.5343
1.858,	0,	66.6656,	90.601
1.859,	-3.8147,	66.6733,	90.6677
1.86,	3.8147,	66.6656,	90.7343
1.861,	0,	66.6656,	90.801
1.862,	-3.8147,	66.6733,	90.8677
1.863,	3.8147,	66.6656,	90.9343
1.864,	0,	66.6656,	91.001
1.865,	0,	66.6656,	91.0677
1.866,	-3.8147,	66.6733,	91.1344
1.867,	3.8147,	66.6656,	91.201
1.868,	0,	66.6656,	91.2677
1.869,	-3.8147,	66.6733,	91.3344
1.87,	3.8147,	66.6656,	91.401
1.871,	0,	66.6656,	91.4677
1.872,	0,	66.6656,	91.5344
1.873,	-3.8147,	66.6733,	91.601
1.874,	3.8147,	66.6656,	91.6677
1.875,	0,	66.6656,	91.7344
1.876,	-3.8147,	66.6733,	91.801
1.877,	3.8147,	66.6656,	91.8677
1.878,	0,	66.6656,	91.9344
1.879,	0,	66.6656,	92.001
1.88,	-3.8147,	66.6733,	92.0677
1.881,	3.8147,	66.6656,	92.1344
1.882,	0,	66.6656,	92.201
1.883,	0,	66.6656,	92.2677
1.884,	-3.8147,	66.6733,	92.3344
1.885,	3.8147,	66.6656,	92.401
1.886,	0,	66.6656,	92.4677
1.887,	-3.8147,	66.6733,	92.5344
1.888,	3.8147,	66.6656,	92.601
1.889,	0,	66.6656,	92.6677
1.89,	0,	66.6656,	92.7344
1.891,	-3.8147,	66.6733,	92.801
1.892,	3.8147,	66.6656,	92.8677
1.893,	0,	66.6656,	92.9344
1.894,	-3.8147,	66.6733,	93.0011
1.895,	3.8147,	66.6656,	93.0677
1.896,	0,	66.6656,	93.1344
1.897,	0,	66.6656,	93.201
1.898,	-3.8147,	66.6733,	93.2677
1.899,	3.8147,	66.6656,	93.3344
1.9,	0,	66.6656,	93.4011
1.901,	-3.8147,	66.6733,	93.4677
1.902,	3.8147,	66.6656,	93.5344
1.903,	0,	66.6656,	93.6011
1.904,	0,	66.6656,	93.6677
1.905,	-3.8147,	66.6733,	93.7344
1.906,	3.8147,	66.6656,	93.8011
1.907,	0,	66.6656,	93.8677
1.908,	-3.8147,	66.6733,	93.9344
1.909,	3.8147,	66.6656,	94.0011
1.91,	0,	66.6656,	94.0677
1.911,	0,	66.6656,	94.1344
1.912,	-3.8147,	66.6733,	94.2011
1.913,	3.8147,	66.6656,	94.2677
1.914,	0,	66.6656,	94.3344
1.915,	-3.8147,	66.6733,	94.4011
1.916,	3.8147,	66.6656,	94.4677
1.917,	0,	66.6656,	94.5344
1.918,	0,	66.6656,	94.6011
1.919,	-3.8147,	66.6733,	94.6677
1.92,	3.8147,	66.6656,	94.7344
1.921,	0,	66.6656,	94.8011
1.922,	0,	66.6656,	94.8677
1.923,	-3.8147,	66.6733,	94.9344
1.924,	3.8147,	66.6656,	95.0011
1.925,	0,	66.6656,	95.0677
1.926,	-3.8147,	66.6733,	95.1344
1.927,	3.8147,	66.6656,	95.2011
1.928,	0,	66.6656,	95.2678
1.929,	0,	66.6656,	95.3344
1.93,	-3.8147,	66.6733,	95.4011
1.931,	3.8147,	66.6656,	95.4678
1.932,	0,	66.6656,	95.5344
1.933,	-3.8147,	66.6733,	95.6011
1.934,	3.8147,	66.6656,	95.6678
1.935,	0,	66.6656,	95.7344
1.936,	0,	66.6656,	95.8011
